,Fungal infection,Allergy,GERD,Chronic cholestasis,Drug Reaction,Peptic ulcer diseae,AIDS,Diabetes ,Gastroenteritis,Bronchial Asthma,Hypertension ,Migraine,Cervical spondylosis,Paralysis (brain hemorrhage),Jaundice,Malaria,Chicken pox,Dengue,Typhoid,hepatitis A,Hepatitis B,Hepatitis C,Hepatitis D,Hepatitis E,Alcoholic hepatitis,Tuberculosis,Common Cold,Pneumonia,Dimorphic hemmorhoids(piles),Heart attack,Varicose veins,Hypothyroidism,Hyperthyroidism,Hypoglycemia,Osteoarthristis,Arthritis,(vertigo) Paroymsal  Positional Vertigo,Acne,Urinary tract infection,Psoriasis,Impetigo
0,itching,continuous_sneezing,stomach_pain,itching,itching,vomiting,muscle_wasting,fatigue,vomiting,fatigue,headache,acidity,back_pain,vomiting,itching,chills,itching,skin_rash,chills,joint_pain,itching,fatigue,joint_pain,joint_pain,vomiting,chills,continuous_sneezing,chills,constipation,vomiting,fatigue,fatigue,fatigue,vomiting,joint_pain,muscle_weakness,vomiting,skin_rash,burning_micturition,skin_rash,skin_rash
1,skin_rash,shivering,acidity,vomiting,skin_rash,loss_of_appetite,patches_in_throat,weight_loss,sunken_eyes,cough,chest_pain,indigestion,weakness_in_limbs,headache,vomiting,vomiting,skin_rash,chills,vomiting,vomiting,fatigue,yellowish_skin,vomiting,vomiting,yellowish_skin,vomiting,chills,fatigue,pain_during_bowel_movements,breathlessness,cramps,weight_gain,mood_swings,fatigue,neck_pain,stiff_neck,headache,pus_filled_pimples,bladder_discomfort,joint_pain,high_fever
2,nodal_skin_eruptions,chills,ulcers_on_tongue,yellowish_skin,stomach_pain,abdominal_pain,high_fever,restlessness,dehydration,high_fever,dizziness,headache,neck_pain,weakness_of_one_body_side,fatigue,high_fever,fatigue,joint_pain,fatigue,yellowish_skin,lethargy,nausea,fatigue,fatigue,abdominal_pain,fatigue,fatigue,cough,pain_in_anal_region,sweating,bruising,cold_hands_and_feets,weight_loss,anxiety,knee_pain,swelling_joints,nausea,blackheads,foul_smell_of urine,skin_peeling,blister
3,dischromic _patches,watering_from_eyes,vomiting,nausea,burning_micturition,passage_of_gases,extra_marital_contacts,lethargy,diarrhoea,breathlessness,loss_of_balance,blurred_and_distorted_vision,dizziness,altered_sensorium,weight_loss,sweating,lethargy,vomiting,high_fever,dark_urine,yellowish_skin,loss_of_appetite,yellowish_skin,high_fever,swelling_of_stomach,weight_loss,cough,high_fever,bloody_stool,chest_pain,obesity,mood_swings,restlessness,sweating,hip_joint_pain,movement_stiffness,spinning_movements,scurring,continuous_feel_of_urine,silver_like_dusting,red_sore_around_nose
4,skin_rash,shivering,cough,loss_of_appetite,spotting_ urination,internal_itching,patches_in_throat,irregular_sugar_level,vomiting,family_history,lack_of_concentration,excessive_hunger,loss_of_balance,vomiting,high_fever,headache,high_fever,fatigue,nausea,nausea,dark_urine,family_history,dark_urine,yellowish_skin,distention_of_abdomen,cough,high_fever,breathlessness,irritation_in_anus,vomiting,swollen_legs,lethargy,sweating,headache,swelling_joints,painful_walking,loss_of_balance,skin_rash,burning_micturition,small_dents_in_nails,yellow_crust_ooze
5,nodal_skin_eruptions,chills,chest_pain,abdominal_pain,itching,vomiting,high_fever,blurred_and_distorted_vision,sunken_eyes,mucoid_sputum,chest_pain,stiff_neck,back_pain,headache,yellowish_skin,nausea,headache,high_fever,constipation,loss_of_appetite,loss_of_appetite,fatigue,nausea,dark_urine,history_of_alcohol_consumption,high_fever,headache,sweating,constipation,breathlessness,swollen_blood_vessels,dizziness,diarrhoea,nausea,painful_walking,muscle_weakness,unsteadiness,pus_filled_pimples,bladder_discomfort,inflammatory_nails,skin_rash
6,dischromic _patches,watering_from_eyes,stomach_pain,yellowing_of_eyes,stomach_pain,indigestion,extra_marital_contacts,obesity,dehydration,cough,dizziness,depression,weakness_in_limbs,weakness_of_one_body_side,dark_urine,muscle_pain,loss_of_appetite,headache,abdominal_pain,abdominal_pain,abdominal_pain,yellowish_skin,loss_of_appetite,nausea,fluid_overload,breathlessness,swelled_lymph_nodes,malaise,pain_during_bowel_movements,sweating,prominent_veins_on_calf,puffy_face_and_eyes,fast_heart_rate,blurred_and_distorted_vision,joint_pain,stiff_neck,vomiting,blackheads,foul_smell_of urine,skin_rash,high_fever
7,itching,continuous_sneezing,ulcers_on_tongue,vomiting,burning_micturition,abdominal_pain,muscle_wasting,excessive_hunger,diarrhoea,high_fever,loss_of_balance,irritability,neck_pain,altered_sensorium,abdominal_pain,chills,mild_fever,nausea,diarrhoea,diarrhoea,yellow_urine,nausea,abdominal_pain,loss_of_appetite,vomiting,sweating,malaise,chest_pain,pain_in_anal_region,chest_pain,fatigue,enlarged_thyroid,excessive_hunger,excessive_hunger,neck_pain,swelling_joints,headache,scurring,continuous_feel_of_urine,joint_pain,blister
8,nodal_skin_eruptions,chills,vomiting,yellowish_skin,spotting_ urination,passage_of_gases,high_fever,increased_appetite,sunken_eyes,breathlessness,lack_of_concentration,visual_disturbances,dizziness,headache,itching,vomiting,swelled_lymph_nodes,loss_of_appetite,toxic_look_(typhos),mild_fever,yellowing_of_eyes,loss_of_appetite,yellowing_of_eyes,abdominal_pain,yellowish_skin,loss_of_appetite,phlegm,fast_heart_rate,bloody_stool,breathlessness,cramps,brittle_nails,muscle_weakness,slurred_speech,knee_pain,movement_stiffness,nausea,pus_filled_pimples,bladder_discomfort,skin_peeling,red_sore_around_nose
9,dischromic _patches,watering_from_eyes,cough,nausea,itching,internal_itching,extra_marital_contacts,polyuria,dehydration,family_history,headache,indigestion,loss_of_balance,weakness_of_one_body_side,vomiting,high_fever,malaise,pain_behind_the_eyes,belly_pain,yellowing_of_eyes,malaise,yellowing_of_eyes,vomiting,yellowing_of_eyes,abdominal_pain,mild_fever,throat_irritation,rusty_sputum,irritation_in_anus,sweating,bruising,swollen_extremeties,irritability,irritability,hip_joint_pain,painful_walking,spinning_movements,blackheads,foul_smell_of urine,silver_like_dusting,yellow_crust_ooze
10,itching,continuous_sneezing,chest_pain,loss_of_appetite,skin_rash,indigestion,muscle_wasting,fatigue,diarrhoea,mucoid_sputum,dizziness,headache,weakness_in_limbs,altered_sensorium,fatigue,sweating,red_spots_over_body,back_pain,chills,muscle_pain,receiving_blood_transfusion,family_history,fatigue,coma,swelling_of_stomach,yellowing_of_eyes,redness_of_eyes,chills,constipation,chest_pain,obesity,depression,abnormal_menstruation,palpitations,swelling_joints,stiff_neck,loss_of_balance,scurring,continuous_feel_of_urine,small_dents_in_nails,high_fever
11,skin_rash,shivering,stomach_pain,abdominal_pain,burning_micturition,loss_of_appetite,patches_in_throat,weight_loss,vomiting,fatigue,loss_of_balance,blurred_and_distorted_vision,neck_pain,vomiting,weight_loss,headache,skin_rash,muscle_pain,vomiting,joint_pain,receiving_unsterile_injections,yellowish_skin,yellowish_skin,stomach_bleeding,distention_of_abdomen,swelled_lymph_nodes,sinus_pressure,fatigue,pain_during_bowel_movements,vomiting,swollen_legs,irritability,fatigue,vomiting,painful_walking,swelling_joints,unsteadiness,skin_rash,burning_micturition,inflammatory_nails,blister
12,dischromic _patches,watering_from_eyes,acidity,yellowing_of_eyes,spotting_ urination,abdominal_pain,extra_marital_contacts,restlessness,dehydration,high_fever,lack_of_concentration,excessive_hunger,dizziness,weakness_of_one_body_side,high_fever,nausea,fatigue,red_spots_over_body,fatigue,vomiting,itching,nausea,dark_urine,joint_pain,history_of_alcohol_consumption,malaise,runny_nose,cough,pain_in_anal_region,sweating,swollen_blood_vessels,abnormal_menstruation,mood_swings,fatigue,neck_pain,movement_stiffness,headache,blackheads,foul_smell_of urine,joint_pain,red_sore_around_nose
